cytoband	22q13.32	9p21.3	8p23.2	1p36.11	11q25	1p36.32	8p21.1	13q14.2	11q23.3	2q37.3	6q16.2	19p13.3	13q11	15q14	10q23.31	12q23.1	11q12.2	1p22.1	9p23	3p22.1	6q25.3	10q25.1	11p15.5	22q12.3	13q12.12	17q25.1	6q22.1	14q24.2	15q13.1	19q13.32	11q13.1	15q24.2	17q21.2	9p22.3	4q35.2	6q23.3	12p11.22	
						MKNK1		SMIM2-AS1	BCO2		MIR4643				MIR6507	ANAPC5		C1orf194		TWF2	LOC100129518	PI4K2A				C17orf77		DHRS7	RAB8B	GLTSCR1	SNORD30	ZNF280D	SYNRG		PTPN13	AFDN	MYF6	
						AKR7A2		LOC101929259	TMEM133		MIR548AI				LOC102723665	ANAPC7		LRRC39		TRAK1	C6orf99	HIF1AN				LOC146795		ASB2	DUOX1	EHD2	SNORD28	VPS13C	CASC3		QDPR	MOCS1	MYL2	
						PTCH2		LINC01198	TMPRSS13		MIR4463				XLOC_008559	TRIAP1		DRAM2		DHX30	LOC100131532	WDR11				NOTUM		SIX4	CSNK1G1	HSD17B14	SNORD27	LRRC49	IKZF3		RAP1GDS1	MOG	MYL6	
						ALDH4A1		LOC101929657	DCUN1D5		KCNQ5-AS1				LOC105378430	NT5DC3		PIFO		SACM1L	LOC100132735	SLF2				TMC8		ZFYVE1	MAGEL2	RAB4B	SNORD26	PAQR5	SARM1		REST	MSH5	MYO1A	
						EIF3I		MIR8079	MSANTD4		LOC100996634					VPS29		C1orf162		SCAP	AIRN	DHX32				CENPX		CPSF2	DLL4	TRPM4	SNORD25	DPP8	GPATCH8		RFC1	MUT	PPP1R12A	
						EIF4G3		LINC01065	KIRREL3		MANEA-AS1					TPCN1		SYT6		LAMB2P1	LOC100289495	PPP2R2D				LRRC45		KCNK10	INO80	QPCTL	SNORD22	RPP25	KCNH4		RGS12	MYB	NAB2	
						B4GALT2		LOC103191607	BUD13		LOC101927314					SSH1		SAMD13		EXOSC7	MIR1913	TDRD1				SLC39A11		CDCA4	FAM63B	FAM83E	SLC22A6	COMMD4	SUZ12		RNF4	MYO6	NACA	
						TNFRSF25		LINC01050	TMEM25		LOC101927365					RHOF		C1orf52		PDZRN3	MIR1202	BCCIP				TRIM65		NRDE2	RNF111	RASIP1	SLC22A8	PARP16	FAM215A		ABCE1	RPL10A	NAP1L1	
						PABPC4		DLEU1-AS1	RPUSD4		LOC101927640					VSIG10		TMEM56		CLASP2	MIR1273C	C10orf2				UNC13D		ATG2B	ZNF280D	TMEM160	NRXN2	TIPIN	PPY2P		RPL9	NEDD9	NDUFA9	
						TNFRSF14		LINC01048	TBRG1		LOC101927686					TESC		NBPF4		RAD54L2	MIR3145	TM9SF3				MYADML2		UBR7	TRPM7	ATP5SL	LPXN	CLN6	PYY2		RPL34	NEU1	NELL2	
						TNFRSF18		LINC01055	UBASH3B		LOC101928489					PARPBP		SLC30A7		FRMD4B	MIR3918	ENTPD7				NPB		EXD2	VPS13C	C19orf73	PEX16	ZSCAN2	KRT23		RPS3A	NFKBIE	NFE2	
						PER3		LINC00428	C11orf70		LOC101928516					SLC6A15		CHIAP2		STAB1	MIR3939	AS3MT				LINC00469		VRTN	LRRC49	PNMAL1	FADS2	ZWILCH	TMEM98		S100P	NFKBIL1	NFYB	
						EIF2B3		LOC105370177	SNORD14C		LOC101928540					RIC8B		DENND2C		GPD1L	MIR3668	GPAM				FADS6		SYNJ2BP	PAQR5	TMEM143	MAPK8IP1	DET1	POLDIP2		MSMO1	NFYA	NINJ2	
						ARTN		LINC00390	SNORD14D		MEI4					APPL2		GBP6		NBEAL2	MIR3692	SHTN1				HID1		SLC39A9	PPP1R14D	SMG9	TP53I11	UACA	TBC1D29		CXCL6	NMBR	NOP2	
						MAP3K6		LOC105370203	SNORD14E		LINC01526					SBNO1		PLPPR5		FAM208A	SYNE1-AS1	FAM160B1				TSEN54		MEG3	DPP8	IRGC	PITPNM1	LINS1	WSB1		CXCL11	NQO2	NOS1	
						KCNQ4		LINC00374	DIXDC1		LOC101928820					DRAM1		FNDC7		KLHL18	KIF25-AS1	SEMA4G				UBALD2		FLVCR2	MTMR10	CABP5	RIN1	FANCI	ERAL1		CXCL5	NOTCH4	CNOT2	
						ZMYM4		SETDB2-PHF11	ZC3H12C		LOC101928911					SVOP		SASS6		LARS2	GVQW2	PLEKHA1				LINC00868		GPATCH2L	PARP16	SPHK2	TESMIN	IMP3	AATF		SFRP2	NT5E	SLC11A2	
						ZMYM6			ESAM		LOC101928936					STAB2		HFM1		RYBP	LOC100507477	AVPI1				TMEM235		PPP4R3A	TIPIN	EXOSC5	MICAL2	LARP6	SNORD4B		SGCB	OPRM1	NTF3	
						DHRS3			ALKBH8		LOC101929057					VEZT		UBL4B		NAT6	LINC01277	HPSE2				CCDC57		BTBD7	CLN6	MEIS3	ATG13	MNS1	SNORD4A		SH3BP2	PARK2	NTS	
						VAMP3			FDXACB1		CASC6					GOLGA2P5		ALG14		FBXL2	LOC100507557	FAM204A				HEXDC		TDP1	ZNF770	CEACAM19	CKAP5	DNAJA4	SNORD42B		SNCA	PBX2	OAS1	
						SNRNP40			C11orf52		ARMC2-AS1					ZCCHC8		HIPK1		ABHD14A	CAHM	LHPP				C17orf58		ZNF839	ZWILCH	CD177	CCS	MCTP2	SNORD42A		SOD3	PCMT1	OAS2	
						THEMIS2			TIRAP		MIR7641-2					SCYL2		AKR7A2P1		POC1A	MIR4466	MMS19				SLC26A11		SPATA7	FLJ10038	PNMAL2	RCE1	VIMP	TUBG2		SPINK2	PDCD2	OAS3	
						H6PD			CARD16		TBX18-AS1					POLR3B		EPHX4		CNOT10	MIR4465	NOC3L				ENDOV		ACTR10	UACA	PLEKHA4	NAALADL1	GOLGA6B	TMEM97		SPP1	ENPP1	OLR1	
						ISG15			C1QTNF5		LOC105377879					CHFR		AKNAD1		TMEM158	MIR4644	IKZF5				NDUFAF8		YLPM1	HAUS2	PRX	NR1H3	MESP1	NKIRAS2		SRP72	ENPP3	P2RX4	
						PLCH2			TMEM123		LINC01611					FGD6		MCOLN2		NDUFAF3	RAET1E-AS1	ZDHHC6				LINC00482		KCNK13	RMDN3	SPTBN4	DPP3	UNC45A	COA3		STATH	PEX6	P2RX7	
						IPO13			PANX3		LOC105377924					WSB2		COL24A1		MYRIP	RPS6KA2-AS1	CUEDC2				TMEM105		CCDC177	DNAJC17	MARK4	USH1C	C15orf39	GIT1		SULT1E1	PEX7	PA2G4	
						SDC3			APOA5		SNORD141A					NDUFA12		MAGI3		PTPN23	SYNJ2-IT1	FBXL15				METRNL		C14orf132	LARP6	DMRTC2	KCNK7	THAP10	PSMC3IP		TACR3	PGC	PEBP1	
						KDM4A			TMEM45B							DIABLO		FAM19A3		CHMP2B	RPS6KA2-IT1	C10orf76				RAB37		DDX24	MNS1	ELSPBP1	HIPK3	RGMA	SOCS7		TDO2	PGK2	PAH	
						CROCC			COLCA2							ANKS1B		FAM102B		DNAH1	EZR-AS1	HPS6				ENPP7		ADCK1	NOP10	LIN7B	PRMT3	WDR93	SOST		TEC	PGM3	PAWR	
						PUM1			PIH1D2							CHPT1		SYPL2		HIGD1A	LOC101928661	MFSD13A				OXLD1		TMEM63C	MYO5C	HIF3A	RASGRP2	PARP6	RAPGEFL1		TLL1	PHF1	PCBP2	
						CEP104			NXPE1							TMCC3		CYB561D1		LRIG1	LOC101929122	MCMBP				CCDC137		RHOJ	NSMCE3	ZNF574	GLYAT	FAM219B	PIPOX		TLR1	SERPINB6	CDK17	
						RIMS3			NXPE2							PITPNM2		ZNF326		SUSD5	PACRG-AS2	C10orf95				ARL16		GALNT16	FAM214A	TRAPPC6A	CDK2AP2	ADAMTSL3	ARL17A		TLR2	SERPINB9	PDE3A	
						EFCAB14			JAML							EP400		BTBD8		ERC2	LOC101929297	PLEKHS1				CD300E		PLEKHH1	EMC7	FKRP	TCIRG1	CEMIP	CRLF3		TLR3	PIM1	PDE6H	
						KLHL21			ARHGAP42							DHX37		PPM1J		APPL1	LOC101929420	PDZD7				OTOP3		TRMT5	THAP10	ZNF576	RTN3	ALPK3	SLC25A39		TRPC3	PKHD1	PDE1B	
						SLC35E2			KBTBD3							FBRSL1		LINC01140		GNL3	LOC101929460	OBFC1				MCRIP1		UNC79	PAK6	GEMIN7	PRG3	ISLR2	NLK		TXK	PLAGL1	PFDN5	
						ZBTB40			CWF19L2							DDX55		CCDC18		FOXP1	LINC01615	C10orf88				GPR142		BEGAIN	DTWD1	COQ8B	SPON1	IGDCC4	HIGD1B		UBE2D3	PLG	PFKM	
						MFN2			KDELC2							NTN4		MYBPHL		RBMS3	LOC101929504	UBTD1				ZACN		PPP4R4	KNL1	CNTD2	RBM14	ABHD17C	CDK12		UCHL1	PLN	SLC25A3	
						THRAP3			LAYN							TRPV4		BARHL2		NKIRAS1	LOC101929523	CFAP43				BTBD17		ZNF410	AVEN	OPA3	CDC42EP2	MESDC1	KRT20		UCP1	POLH	PIK3C2G	
						PTPRU			TTC36							LHX5		GBP7		SPCS1	MIR7161	LRRC27				AATK-AS1		NGB	ATP10A	ITPKC	EIF3M	PPCDC	NLE1		UGDH	POU3F2	PKP2	
						TSPAN1			PATE1							SUDS3		C1orf146		SETD2	MIR7641-2	TNKS2				RPL23AP87		RBM25	GJD2	B9D2	NXF1	CELF6	FNDC8		UGT2B4	POU5F1	PLA2G1B	
						CELA3A			C11orf65							ACTR6		FAM69A		PRSS50	LOC102723831	TRIM8				KCNJ2-AS1		VIPAS39	STARD9	RSPH6A	KAT5	STRA6	CWC25		UGT2B7	PPARD	PMCH	
						PDZK1IP1			MPZL3							C12orf43		SLC6A17		RBM15B	LOC102724053	KAZALD1				SOX9-AS1		SMOC1	VPS18	TEX101	SSSCA1	KLHL25	LRRC37A4P		UGT2B10	PPP1R10	POLE	
						WASF2			C11orf45							VPS33A		UOX		GMPPB	LOC102724152	SFXN3				LINC00511		MOAP1	IGDCC4	GRWD1	HTATIP2	CPEB1	SLFN12		UGT2B15	PPP2R5D	POU6F1	
						ANGPTL7			HYLS1							RSRC2		FRRS1		ARHGEF3	LOC102724357	SLC25A28				LOC400620		DIO3OS	SQRDL	CCDC8	DRAP1	AEN	KLHL11		UGT2B17	PREP	PPP1CC	
						HNRNPR			TMEM218							AACS		GBP1P1		VILL	LOC102724511	ELOVL3				FLJ45079		IRF2BPL	ZNF106	ZNF541	TAF6L	CRTC3	RHOT1		UGT8	PRIM2	PPP1R1A	
						SRRM1			SLC37A2							NUP37		FLJ27354		ABHD5	LOC103352541	MARVELD1				TEX19		MPP5	IQCH	CNFN	SCGB1D2	IQCH	COPRS		VEGFC	PKIB	PRB1	
						CNKSR1			OR8B12							DDX54		MIR137HG		DYNC1LI1	LOC105378047	PCGF6				MXRA7		INF2	RFX7	CEACAM21	SCGB1D1	ISL2	FAM222B		WFS1	MAPK13	PRB3	
						ZMPSTE24			OR8G5							NOC4L		MIR137		C3orf18	LOC105378052	LOXL4				LOC440461		PCNX4	SPATA5L1	CCDC97	CELF1	RFX7	ADAP2		WHSC1	PRL	PRB4	
						UBE4B			OR10G8							GNPTAB		MIR197		SS18L2	LOC105378068	ZDHHC16				BAIAP2-AS1		GPR135	CHAC1	EXOC3L2	OR5I1	TTC23	UTP6		NELFA	PSMB1	PRH1	
						AKR1A1			OR10G9							B3GNT4		LINC01555		SHISA5	LOC105378098	PCGF5				MIR338		BCL11B	NOX5	SHKBP1	OR7E14P	MRPS11	GSDMB		ZNF141	PSMB8	PRH2	
						TESK2			OR10S1							TCTN1		FLJ31662		ZDHHC3	MEAT6	ADGRA1				CPSF4L		OTUB2	ICE2	CCDC114	YIF1A	NOX5	ATXN7L3		SLBP	PSMB9	PRIM1	
						PPIE			OR6T1							OGFOD2		LOC440600		ZMYND10	LOC105378123	LZTS2				SMIM5		ZFYVE21	AAGAB	LOC93429	EHD1	EFL1	PLXDC1		GLRA3	PTK7	PRKAB1	
						MAD2L2			OR4D5							VPS37B		LOC440602		TEX264	LOC105378127	LCOR				SNHG20		MEG8	KATNBL1	CGB5	C11orf58	NEIL1	LYZL6		ACOX3	PTPRK	PRKAG1	
						PPIH			TBCEL							C12orf49		BCL2L15		TMA7	LOC105378137	NKX6-2				SCARNA16		WDR25	SLTM	CGB7	STIP1	ICE2	NUFIP2		SPARCL1	RGL2	PRPH	
						CAP1			TMEM136							TCTN2		PGCP1		ZNF589	LOC105378146	MRPL43				SNORD1A		LINC00341	SNX22	CGB8	CLP1	LRRK1	TAOK1		SMARCA5	PRPH2	PSMD9	
						LRRC41			HEPACAM							NAA25		GEMIN8P4		HEMK1	LUADT1	AFAP1L2				SNORD1B		ZC2HC1C	ATP8B4	GNG8	SF3B2	AAGAB	ARHGAP23		SORBS2	REV3L	PTHLH	
						PDPN			OAF							SLC8B1		RBMXL1		IP6K2	SNORA98	PYROXD2				SNORD1C		C14orf169	WDR76	EGLN2	CCDC85B	LMAN1L	PHF12		PRSS12	TRIM27	TWF1	
						KHDRBS1			ANGPTL5							CEP290		SPATA42		SFMBT1		USMG5				MIR635		CLMN	TMEM62	PTH2	B4GAT1	SLTM	FKBP10		CPZ	RHAG	PTMS	
						GMEB1			ANKK1							RNF34		CYMP		NCKIPSD		ARHGAP19				MIR636		CATSPERB	SEMA6D	CGB1	PLA2G16	PEAK1	C17orf75		NOP14	RING1	PTPN6	
						NUDC			RNF214							CCDC92		LOC643355		PHF7		KNDC1				MIR657		ZC3H14	ANP32A-IT1	CGB2	HPS5	SNX22	WNK4		FAM193A	BRD2	PTPN11	
						MASP2			LOC283140							MTERF2		LOC643441		TLR9		ITPRIP				PRCD		RIN3	PIF1	LMTK3	PTGDR2	THSD4	C17orf53		USO1	RNF5	PTPRB	
						SRSF10			LINC00900							PUS1		LOC646626		LZTFL1		OLMALINC				LOC100130370		C14orf159	SPG11	ZNF526	RRAS2	ANP32A-IT1	TMUB2		UNC5C	ROS1	PTPRO	
						UTS2			BCL9L							ACAD10		SETSIP		P4HTM		MTG1				LOC100130520		BBOF1	ELL3	CEACAM20	ZP1	HEXA-AS1	DHX58		LAMTOR3	RPS6KA2	PTPRR	
						SF3A3			FOXR1							GLT8D2		ACTG1P4		SLC6A20		BBIP1				SMIM6		TMEM121	PLEKHO2	NTN5	KDM2A	PIF1	MMP28		PDE5A	RPS10	PXMP2	
						EBNA1BP2			CCDC153							KCTD10		NBPF6		IL17RD		FANK1				TNRC6C-AS1		SGPP1	POLR2M	IRGQ	ATG2A	CCDC33	DHRS11		SLC4A4	RPS12	PXN	
						KIF2C			OR8D1							USP44		SCARNA2		ELP6		OPALIN				CD300LD		AMN	VWA9	ZNF428	GANAB	EDC3	TEFM		SAP30	RPS18	PEX5	
						RER1			OR8D2							SLC41A2		MIR553		SNRK		SYCE1				LOC100132174		SLIRP	NIPA2	C19orf47	DTX4	GOLGA2P10	ACBD4		INPP4B	RREB1	PZP	
						RCAN3			OR8B4							LRRIQ1		LOC729930		QRICH1		HOGA1				PRO1804		DNAL1	APH1B	PPM1N	NUP160	TM2D3	DCAKD		PROM1	RXRB	RAB5B	
						MST1P2			KIRREL3-AS3							TCHP		LOC729970		PXK		SORCS1				LOC100134391		RPS6KL1	TLN2	KLC3	FNBP4	PLEKHO2	GGNBP2		HERC3	VPS52	RAD52	
						MST1L			CCDC84							COQ5		LOC729987		CMTM6		PRAP1				TEN1		SYT16	FAM96A	IGSF23	CLCF1	WDR61	ATAD5		PHOX2B	ATXN1	RAN	
						PADI2			TMEM225							HVCN1		MIR760		SLC25A38		ZNF511				C17orf99		IFI27L2	C15orf48	LYPD4	FAM89B	CD276	MRM1		SNORD73A	SRSF3	RAP1B	
						LYPLA2			OR8D4							SRRM4		LINC01349		ULK4		C10orf90				LOC100287042		SETD3	MEGF11	HIPK4	SNHG1	STARD5	PLEKHH3		STBD1	SGK1	RARG	
						PARK7			C11orf53							CCDC62		LOC100129046		OXSM		BTBD16				LOC100294362		APOPT1	C15orf41	CCDC155	POLA2	POLR2M	DBF4B		CDKL2	SIM1	KDM5A	
						CTRC			LOC341056							KDM2B		LOC100129138		FEZF2		FAM24A				MIR1250		HHIPL1	SPPL2A	DACT3	FLRT1	VWA9	MYO19		PAPSS1	SKIV2L	RBMS2	
						ACOT7			PLET1							UNC119B		LINC01160		EBLN2		PSTK				MIR4316		GON7	ZFYVE19	SIX5	MTCH2	LINC00597	COASY		LDB2	SLC17A1	RDH5	
						DNAJC8			LOC387810							USP30		LOC100129620		ANO10		PIK3AP1				MIR3065		STON2	CGNL1	IGFL2	FJX1	ADPGK	SRCIN1		LRAT	SLC22A1	RECQL	
						CLSTN1			BSX							ORAI1		CCDC18-AS1		DALRD3		MORN4				MIR3186		CIPC	FRMD5	TTC9B	KIAA1549L	APH1B	AARSD1		AIMP1	SLC22A3	RFC5	
						FOXJ3			OR6X1							RNFT2		AP4B1-AS1		SHQ1		ZFYVE27				LINC00674		PAPLN	DISP2	ZNF296	PRDX5	FAM103A1	KRTAP1-3		NDST3	SLC22A2	RFX4	
						SCMH1			OR6M1							FAM222A		MIR548N		PBRM1		MMP21				LINC00673		FAM181A	CHRFAM7A	DEDD2	ABTB2	TLN2	KRTAP1-1		SLIT2	SMPD2	RPL6	
						AKR7A3			OR10G4							RITA1		MIR4256		CHDH		FRA10AC1				MIR3678		BTBD6	ULK4P3	ZNF114	BRMS1	FAM96A	KRTAP9-9		RAB28	SNRPC	RPL41	
						SPEN			OR10G7							FAM222A-AS1		SPATA1		IL17RB		SFXN2				MIR3615		EFCAB11	ULK4P1	ZNF780B	TEX40	MEX3B	KRTAP4-6		TMPRSS11D	SOD2	RPLP0	
						KDM1A			OR8B3							ANKRD13A		LINC01364		NGLY1		PDZD8				RNF157-AS1		CHURC1	ARHGAP11B	SPACA4	PAMR1	MEGF11	KRTAP2-1		ABCG2	SOX4	RPS26	
						WDTC1			OR8A1							TMEM116		RTCA-AS1		CACNA2D3		BORCS7				SNHG16		ELMSAN1	DPH6	CADM4	ZDHHC5	LINGO1	TTC25		HAND2	SRF	CLIP1	
						EMC1			C11orf87							UBE3B		FAM212B-AS1		DCP1A		NUDT9P1				LOC100507351		LIN52	C15orf57	INAFM1	ATL3	WDR73	KRTAP4-12		ADAMTS3	SRPK1	TSPAN31	
						KIF1B			COLCA1							TMEM263		SLC16A1-AS1		GLT8D1		GSTO2				C1QTNF1-AS1		NEK9	KNSTRN	ZNF780A	TKFC	CGNL1	RAB34		CLOCK	SSR1	ATXN2	
						MAST2			C11orf88							C12orf29		TMEM56-RWDD3		ZKSCAN7		SFR1				TEN1-CDK3		EXOC3L4	BMF	C19orf54	DKFZP434K028	UBL7	KRTAP1-5		CEP135	ELOVL4	SCN8A	
						NCDN			MIR100HG							C12orf65		MIR378G		LMOD3		CALHM3				MIR1268B		WDR20	SHF	PRR19	B3GAT3	TICRR	KRTAP3-1		RAPGEF2	T	SCNN1A	
						PLEKHM2			PATE2							TMEM132C		MIR2682		SEMA3G		CTAGE7P				MIR4739		IFT43	DUOXA1	TMEM145	FBXO3	RCCD1	KRTAP3-2		KIAA0232	TAF11	SELPLG	
						OTUD3			PATE4							BICDL1		MIR4423		KIF15		CLRN3				MIR4525		WDR89	SNORD107	CXCL17	SERGEF	LOC91450	KRTAP9-2		MFAP3L	MAP3K7	SFSWAP	
						KAZN			ST3GAL4-AS1							SDSL		DPYD-AS1		ADAMTS9		PNLIPRP3				MIR4738		L3HYPDH	CALML4	LOC284344	EHF	CALML4	KRTAP9-3		SEC24D	TAP1	SHMT2	
						CAMTA1			LOC403312							TMEM132B		DPYD-AS2		PCBP4		SFXN4				MIR4740		AHNAK2	LDHAL6B	ZNF575	OR5L2	ARRDC4	KRTAP9-8		G3BP2	TAP2	ST8SIA1	
						SZT2			MIRLET7A2							IQCD		VAV3-AS1		ABHD6		CPXM2				MIR4524A		TRMT61A	CHST14	LYPD5	PPP1R14B	LINC00923	KRTAP17-1		WDR1	TAPBP	PMEL	
						DNAJC16			MIR100							LINC01257		KCNC4-AS1		LRTM1		ACSM6				MIR4730		TDRD9	CASC4	ZNF283	TIMM10	LDHAL6B	NSRP1		HS3ST1	TBCC	SLC2A3	
						UBR4			MIR125B1							DEPDC4		KCND3-AS1		C3orf14		TRUB1				HP09025		ANKRD9	LACTB	PPP1R37	MYEOV	UBE2Q2	PPP1R1B		FGFBP1	TBP	SLC6A12	
						ATP13A2			MIR34B							CCDC38		KCND3-IT1		KIAA1143		VTI1A				CEP295NL		AK7	TUBGCP5	NKPD1	BSCL2	LACTB	TBC1D3F		HNRNPDL	TCF19	SLC6A13	
						TARDBP			MIR34C							C12orf45		LOC100996251		HHATL		HECTD2				MIR4524B		IFI27L1	DIS3L	TPRX1	ELP4	DIS3L	RNF135		TSPAN5	TCF21	SLCO1A2	
						CELA3B			DDI1							TMEM132D		LOC100996630		WDR48		FGFBP3				LOC100996291		C14orf79	TGM7	MAMSTR	SNORD14A	C15orf40	MIEN1		ENAM	TCP1	SMARCC2	
						ICMT			BLID							SLC15A4		LOC100996635		SELK		C10orf82				DNAH17-AS1		PLD4	CATSPER2	IZUMO1	PRPF19	SENP8	MRPL45		LINC01587	TCP10	SMARCD1	
						MACF1			CASP1P2							NEDD1		LINC01356		PROK2		CACUL1				LINC01482		ADSSL1	LEO1	ZNF546	MACROD1	MTFMT	VPS25		FAM13A	TCP11	SNRPF	
						PADI4			CARD17							SLC9A7P1		LAMTOR5-AS1		RNF123		NKX2-3				LINC01483		GPHB5	MTFMT	MYPOP	SLC43A3	SLC51B	TMEM101		MFSD10	TCTE3	SOX5	
						TMEM50A			LINC00167							IKBIP		LOC101927434		KIF9		SLC35G1				LINC01028		NOXRED1	SLC51B	NANOS2	COMMD9	TARSL2	RAB11FIP4		SPRY1	PPP1R11	SP1	
						KPNA6			HEPN1							ASCL4		LINC01361		AZI2		CFAP58				CASC17		JDP2	NIPA1	LEUTX	PACSIN3	HIGD2B	GHDC		MAEA	DYNLT1	STAT2	
						STX12			LOC643733							BTBD11		LOC101927560		CSRNP1		C10orf91				LOC101928205		ISCA2	PLA2G4E	ZNF404	SAC3D1	LRRC28	KRTAP4-4		TLR6	TEAD3	STAT6	
						CLIC4			LOC643923							SPIC		LOC101927587		GORASP1		PWWP2B				LOC101928251		ACOT4	TRIM69	ZNF284	SNX15	TMEM266	CORO6		PCGF3	TFAP2A	SUOX	
						SYF2			CLDN25							ANO4		LOC101927844		CDCP1		EMX2OS				LOC101928514		TTC8	PWAR1	ZNF233	RHOD	AGBL1	TNS4		ANAPC10	TFAP2B	VAMP1	
						MMACHC			LOC649133							ALKBH2		PKN2-AS1		CCDC71		PLPP4				LOC101928674		TC2N	TERB2	B3GNT8	EFEMP2	HYKK	FBXL20		ATP8A1	THBS2	SYT1	
						CHD5			RPL23AP64							FOXN4		LINC01057		NT5DC2		PAOX				LOC101928710		SLC24A4	LOC145694	IGFL1	KCNK4	WHAMM	KRTAP9-4		SPON2	NR2E1	TAC3	
						SZRD1			LOC100128386							SPPL3		LOC101928098		SLC26A6		FAM24B				LOC101928738		SLC25A29	C2CD4A	C19orf68	UBXN1	FSD2	KRTAP4-1		PGRMC2	TNF	TARBP2	
						LDLRAP1			LOC100131626							BRI3BP		LOC101928118		CAMKV		EBF3				LOC101928766		DEGS2	FAM81A	CEACAM22P	APIP	ASB7	KRTAP4-5		SEC24B	TNFAIP3	TBX5	
						NOC2L			LOC100132078							AMDHD1		LOC101928241		LRRC2		CALHM1				LOC101928855		LINC00239	GCOM1	CEACAM16	TMX2	LOC145694	KRTAP4-3		TACC3	TNXA	TBX3	
						FBXO2			LOC100132686							RFLNA		LOC101928270		FYCO1		CASC2				LOC101929511		LINC00637	LOC145783	BLOC1S3	GAL	C2CD4A	KRTAP4-2		SLC30A9	TNXB	HNF1A	
						FBXO6			PATE3							ZNF664		LOC101928370		CCDC51		TCERG1L				LOC101929552		RDH12	C15orf65	BHMG1	KMT5B	LYSMD4	KRTAP3-3		CXCL13	TPBG	TDG	
						PLA2G2D			WTAPP1							TMEM120B		LOC101928436		ZNF385D		HSPA12A				MIR6786		ADAM21P1	DRAIC	IGFL3	HSD17B12	FAM81A	KRTAP2-4		SLC34A2	TPD52L1	TEAD4	
						MYCBP			NCAM1-AS1							WDR66		LOC101928476		THOC7		PIPSL				MIR6787		LINC00618	LOC145845	PINLYP	TMEM216	GCOM1	SSH2		MAB21L2	TPMT	TMBIM6	
						HEYL			BACE1-AS							GLT1D1		LOC101928718		WDR82		FUOM				MIR6868		GSC	C15orf61	LOC400706	SLC15A3	LOC145783	TP53I13		PAICS	CRISP2	TFCP2	
						AGO1			MIR4301							TSPAN19		HIPK1-AS1		RTP3		JAKMIP3				MIR6516		SERPINA12	TMCO5A	PSG8	PHF21A	PGPEP1L	IFT20		MXD4	TSPYL1	TSPAN8	
						SNORA73B			MIR3167							SOCS2-AS1		LOC101928995		LRRC2-AS1		STK32C				MIR6785		PRIMA1	ZSCAN29	MIR330	MS4A4A	LINC00924	AOC4P		PDLIM5	TTK	TMPO	
						SNORD55			USP2-AS1							CEP83-AS1		MIR7852		ATRIP		BLOC1S2				LINC01152		PPP1R36	TTBK2	IGFL4	WT1-AS	DRAIC	ZNF830		RRH	TUBB2A	TNFRSF1A	
						RNU11			MIR3920							CFAP54		MIR7856		NICN1		RBM20				LINC01497		SLC38A6	CDAN1	TMEM91	CABP2	C15orf61	SLFN11		CORIN	TULP1	TPI1	
						RNU6-1			MIR3656							RAD9B		LOC102606465		MON1A		PDCD4-AS1				LOC102723505		C14orf37	STRC	LOC645553	TRMT112	C15orf32	RASL10B		UGT2B11	UTRN	NR2C1	
						RNU5F-1			CASP12							FAM109A		LOC102723661		KBTBD8		FLJ37201				LOC102723517		LOC145474	DYX1C1	PSG10P	TMEM138	HAPLN3	G6PC3		PLK4	VARS	HSP90B1	
						RNU5E-1			LOC100507283							LINC00934		LINC01461		ABHD14B		LOC283038				HID1-AS1		PTGR2	CSNK1A1P1	PHLDB3	C11orf24	MESP2	ASB16		PTTG2	VEGFA	TULP3	
						RNU5D-1			SENCR							KRT19P2		LINC01397		POMGNT2		WDR11-AS1				ABCA9-AS1		FAM161B	OTUD7A	SEC1P	ZDHHC13	SPATA8	PGAP3		CPLX1	EZR	TXNRD1	
						RNU1-3			TMPRSS4-AS1							TMTC2		LINC01307		DCLK3		FFAR4				LOC105274304		LRRC74A	SPRED1	SNORD23	WDR74	NRG4	PIGS		HPSE	VIP	UBC	
						RNU1-2			HSPB2-C11orf52							TMTC3		LOC105378828		UCN2		KCNK18				LOC105371899		ISM2	PGBD4	MIR641	TRIM44	LINC00052	HSPB9		SLC26A1	ZNF76	UBE2N	
						RNU1-1			FXYD6-FXYD2							C12orf50		LOC105378853		ZNF502		CYP26C1				LOC105371907		CEP128	ADAL	MIR642A	MS4A12	CFAP161	ORMDL3		NMU	ZNF165	UNG	
						TRAPPC3			MIR4493							ALDH1L2				RFT1		VWA2				LOC105371925		TTC7B	EXD1	CCDC61	MRPL16	TBC1D21	PLCD3		SMR3B	TRIM26	VDR	
						HSPB7			MIR4491							SLC5A8				ZBTB47		NANOS1				SNORD134		FAM71D	FSIP1	MIR769	SDHAF2	ODF3L1	SLC46A1		NPFFR2	ZNF184	VWF	
						ARHGEF16			MIR4492							PPTC7				ACTR8		HMX3						TMEM229B	RHOV	SNAR-G1	SSH3	ADAMTS17	TMEM106A		PPARGC1A	ZSCAN26	WNT1	
						AHDC1			MIR4693							CCDC63				CMTM7		NHLRC2						ACTN1-AS1	FAM227B	SNAR-A1	TMEM132A	SCAMP5	LRRC37B		PPBPP2	ZKSCAN8	WNT10B	
